Item name,Variations,Option set 1,Option 1,Option set 2,Option 2,Option set 3,Option 3,Option set 4,Option 4,Is variation visible? (Yes/No),Price,Variable price? (Yes/No),On sale in Online Store?,Regular price (before sale),Tax rate (%),Set up different prices and VAT for takeaway,Takeaway price,Takeaway tax rate,Unit,Track inventory? (Yes/No),Quantity,Low stock threshold,SKU,Barcode,Modifiers,Description (Online Store and Invoices only),Category,Display colour in POS checkout,Image 1,Image 2,Image 3,Image 4,Image 5,Image 6,Image 7,Display item in Online Store? (Yes/No),SEO title (Online Store only),SEO description (Online Store only),Shipping weight [kg] (Online Store only),Item id (Do not change),Variant id (Do not change)
10 Billets de Tombola,,,,,,,,,,Yes,16.00,No,No,,,No,,,each.each,No,0,0,,,,,Goodies,Light blue,,,,,,,,Yes,,,,26f9a685-2403-4ce4-bbe0-dfc8a8f6926e,85d4e0a6-fff3-4e7b-8cb8-4c7d4d83cf0f
1 Billet de Tombola,,,,,,,,,,Yes,2.00,No,No,,,No,,,each.each,No,0,0,,,,,Goodies,Light blue,,,,,,,,Yes,,,,ff94dc2e-f6d3-4ade-8f40-54abf640076c,03473bd6-8a9b-4fe2-b004-dfaa31e85d64
20 Billets de Tombola,,,,,,,,,,Yes,20.00,No,No,,,No,,,each.each,No,0,0,,,,,Goodies,Light blue,,,,,,,,Yes,,,,2be46f49-a82a-4a5a-988e-42065aa257ac,5aa6bb46-ebde-467a-9211-a0b94ed9a935
5 Billets de Tombola,,,,,,,,,,Yes,9.00,No,No,,,No,,,each.each,No,0,0,,,,,Goodies,Light blue,,,,,,,,Yes,,,,d10bfc7f-ac99-4351-bb7a-65129794c214,27f9a504-5d30-4a93-9109-22432a75db5b
Bokit,,,,,,,,,,Yes,3.00,No,No,,,No,,,each.each,No,0,0,,,,,Midi REPAS,Light red,,,,,,,,Yes,,,,f060781a-7003-4173-a601-247e24eeda35,8ec5566e-e616-433c-83cb-51485ceb8fd8
Bonbon banane,,,,,,,,,,Yes,1.00,No,No,,,No,,,each.each,No,0,0,,,,,Midi DESSERT,Light red,,,,,,,,Yes,,,,e837c837-da10-4351-a6c5-5c79a469fd57,a769a4ea-b43e-4123-919a-c84cee6140e5
Champignon coco,,,,,,,,,,Yes,2.50,No,No,,,No,,,each.each,No,0,0,,,,,Soir REPAS,Light red,,,,,,,,Yes,Champignon coco,,,31f67c56-b233-45cb-91d9-7880e93c9abb,4c052bd0-a35c-4343-9395-09a36dd7dbd9
Coca-cola,,,,,,,,,,Yes,1.00,No,No,,,No,,,each.each,No,0,0,,,,,Soft,Orange,,,,,,,,Yes,,,,32ede1b3-3eb3-4899-aad8-3f111d9373fb,f9ba5840-a6b4-4d93-bcd4-6517ffda6a36
Cocktail rose,,,,,,,,,,Yes,2.50,No,No,,0.00,No,,,each.each,No,0,0,,,,,Cocktail PASS,Light green,,,,,,,,Yes,,,,d559ac53-5d34-46a3-a7a2-e6962e6e6d9b,d68ba8c5-d5aa-41c1-ab98-074f55707d17
Coktail Rose,,,,,,,,,,Yes,3.00,No,No,,,No,,,each.each,No,0,0,,,,,Coktails,Orange,,,,,,,,Yes,,,,9817a27c-f7f4-474f-8d70-c3df05df88b9,43bdb5f4-0dc2-487a-ae51-8fa6f015a59f
